INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
232006000,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14, ,0,2023-01-23 16:02:00+00,2023,1,Monday,16,,BENNETT ST,42.35111736,-71.15321479,"(42.3511173566533, -71.15321478936742)"
232043494,801,,ASSAULT - SIMPLE,B2,296,0,2023-06-02 00:00:00+00,2023,6,Friday,0,,WARREN ST,42.32360741,-71.08256999,"(42.32360740885821, -71.08256998660623)"
232073769,3802,,M/V ACCIDENT - PROPERTY DAMAGE,C11,355,0,2023-09-12 15:34:00+00,2023,9,Tuesday,15,,GIBSON ST,42.29755486,-71.05970969,"(42.297554856340426, -71.05970968687002)"
232024710,1102,,FRAUD - FALSE PRETENSE / SCHEME,A7,17,0,2023-03-09 12:00:00+00,2023,3,Thursday,12,,LEXINGTON ST,42.38069228,-71.02954949,"(42.38069227601447, -71.02954948980596)"
232077998,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,175,0,2023-09-27 05:42:00+00,2023,9,Wednesday,5,,"SOUTHAMPTON ST & TOPEKA ST
ROXBURY  MA 02118
UNITE",42.33168154,-71.06798752,"(42.331681543338135, -71.06798752026641)"
232012226,801,,ASSAULT - SIMPLE,C6, ,0,2023-02-15 00:58:00+00,2023,2,Wednesday,0,,BOSTON ST,42.32597642,-71.05883537,"(42.32597642460161, -71.05883536996006)"
232032526,3503,,MISSING PERSON - NOT REPORTED - LOCATED,B3, ,0,2023-04-27 18:02:00+00,2023,4,Thursday,18,,DEERING RD,42.28413982,-71.09305207,"(42.28413982416871, -71.09305206868798)"
232090071,613,,LARCENY SHOPLIFTING,D4,167,0,2023-11-06 10:52:00+00,2023,11,Monday,10,,HARRISON AVE,42.33954153,-71.06940928,"(42.33954152609665, -71.06940928222296)"
232001432,613,,LARCENY SHOPLIFTING,D4, ,0,2023-01-06 12:55:00+00,2023,1,Friday,12,,DARTMOUTH ST,42.34767021,-71.07620793,"(42.347670211575334, -71.07620793172038)"
232075862,801,,ASSAULT - SIMPLE,B3,450,0,2023-09-19 18:49:00+00,2023,9,Tuesday,18,,TALBOT AVE,42.29072097,-71.07373448,"(42.290720966312264, -71.07373448315795)"
232067895,615,,LARCENY THEFT OF MV PARTS & ACCESSORIES,B2,323,0,2023-08-23 21:45:00+00,2023,8,Wednesday,21,,HOLBORN STREET,,,
232071066,3207,,PROPERTY - FOUND,C6,200,0,2023-09-03 16:00:00+00,2023,9,Sunday,16,,W BROADWAY,42.34128702,-71.0546798,"(42.34128702104515, -71.05467980204799)"
232088164,1102,,FRAUD - FALSE PRETENSE / SCHEME,E5,691,0,2023-10-30 14:02:00+00,2023,10,Monday,14,,CENTRE ST,42.2870932,-71.14822209,"(42.28709320338153, -71.14822209118665)"
232020820,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6, ,0,2023-03-18 15:42:00+00,2023,3,Saturday,15,,OLD COLONY AVE,42.33221386,-71.05344305,"(42.33221386469778, -71.05344305307301)"
232068557,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,355,0,2023-08-25 21:00:00+00,2023,8,Friday,21,,GIBSON ST,42.29755486,-71.05970969,"(42.297554856340426, -71.05970968687002)"
232085473,3114,,INVESTIGATE PROPERTY,E18,547,0,2023-10-21 12:30:00+00,2023,10,Saturday,12,,DEFOREST ST,42.26639729,-71.12856783,"(42.266397288986425, -71.12856783351829)"
232008140,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,520,0,2023-01-31 08:30:00+00,2023,1,Tuesday,8,,HYDE PARK AVE,42.25621554,-71.1240203,"(42.256215542554976, -71.12402029533455)"
232041612,613,,LARCENY SHOPLIFTING,D4, ,0,2023-05-27 19:29:00+00,2023,5,Saturday,19,,BOYLSTON ST,42.34862337,-71.08277689,"(42.34862336851335, -71.08277689315231)"
232064410,3115,,INVESTIGATE PERSON,A1, ,0,2023-08-12 22:41:00+00,2023,8,Saturday,22,,FULTON ST,42.36293562,-71.05253837,"(42.36293562141838, -71.05253836972989)"
232015475,423,,ASSAULT - AGGRAVATED,D14, ,0,2023-02-27 12:06:00+00,2023,2,Monday,12,,WARREN ST,42.34988538,-71.14523037,"(42.34988538006832, -71.1452303701312)"
232027958,3115,,INVESTIGATE PERSON,D4, ,0,2023-04-11 14:34:00+00,2023,4,Tuesday,14,,TREMONT ST,42.33698158,-71.08458754,"(42.33698157816426, -71.08458754096536)"
232068501,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,785,0,2023-08-26 11:40:00+00,2023,8,Saturday,11,,WASHINGTON ST,42.34425742,-71.14383688,"(42.34425742351299, -71.14383687667993)"
232018438,1831,,SICK ASSIST,A1, ,0,2023-03-09 21:46:00+00,2023,3,Thursday,21,,LEGENDS WAY,42.36643499,-71.06135456,"(42.366434986750676, -71.06135455979765)"
232059268,423,,ASSAULT - AGGRAVATED,B3,444,0,2023-07-26 22:47:00+00,2023,7,Wednesday,22,,"BRADSHAW ST & GLENWAY ST
DORCHESTER  MA 02121
UNIT",42.29899352,-71.08143569,"(42.29899351839142, -71.08143568541898)"
232090413,3001,,DEATH INVESTIGATION,A7,12,0,2023-11-07 09:46:00+00,2023,11,Tuesday,9,,SARATOGA ST,42.38675962,-71.00750206,"(42.386759615553494, -71.00750205536661)"
232011323,2907,,VAL - OPERATING AFTER REV/SUSP.,A7, ,0,2023-02-11 14:30:00+00,2023,2,Saturday,14,,"MAVERICK ST & BREMEN ST
EAST BOSTON  MA 02128
UNIT",42.3697115,-71.0379344,"(42.369711499949986, -71.03793440380873)"
232071150,1831,,SICK ASSIST,B2,321,0,2023-09-03 21:24:00+00,2023,9,Sunday,21,,GASTON ST,42.31335824,-71.08024451,"(42.31335824188351, -71.08024450846821)"
